frame,possession_id,possession_frame_index,offense_team,defense_team,ball_handler_id,ball_handler_jersey,ball_handler_team,handler_zone,offense_spacing_m,defensive_pressure_m,numerical_advantage,is_fast_break,event_type,possession_change,tactical_x,tactical_y,speed_mps,distance_delta_m,predicted_action,predicted_confidence,context_risk_index,receiver_id,receiver_jersey,receiver_team,next_5f_event
0,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
1,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
2,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
3,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
4,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
5,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
6,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
7,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
8,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
9,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
10,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
11,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
12,-1,0,-1,-1,-1,,-1,COURT_ZONE_UNKNOWN,,,0,0,NONE,0,,,,,NO_POSSESSION,,0.37,-1,,-1,NONE
